2.250,37.25,37.00,37.00,37.25,37.12,26.69,3.6202,1.999,0.010550333333333333,2
2.284,37.00,37.00,37.00,37.00,37.00,26.75,3.6211,1.999,0.011660888888888889,2
2.317,37.00,37.00,37.00,37.00,37.00,26.75,3.6218,1.999,0.012771444444444443,2
2.351,37.00,36.75,36.75,37.00,36.88,26.75,3.6228,1.999,0.013881999999999999,2
2.384,36.75,36.75,36.75,36.75,36.75,26.69,3.6235,1.999,0.014992555555555552,2
2.418,36.75,36.50,36.50,36.75,36.62,26.75,3.6243,1.999,0.01610311111111111,2
2.451,36.75,36.50,36.50,36.75,36.62,26.75,3.625,1.999,0.017213666666666662,2
2.485,36.50,36.50,36.50,36.50,36.50,26.75,3.6255,1.999,0.01832422222222222,2
2.518,36.50,36.50,36.25,36.50,36.44,26.69,3.6261,1.999,0.019434777777777777,2
2.552,36.50,36.50,36.25,36.50,36.44,26.75,3.6268,1.999,0.020545333333333332,2
2.585,36.25,36.25,36.25,36.50,36.31,26.75,3.6275,1.999,0.02165588888888889,2
2.619,36.25,36.50,36.25,36.25,36.31,26.69,3.6279,1.999,0.022766444444444447,2
2.652,36.25,36.25,36.25,36.25,36.25,26.75,3.6285,1.9989,0.023876972222222227,2
2.686,36.25,36.25,36.25,36.25,36.25,26.69,3.6291,1.999,0.024987500000000003,2
2.719,36.25,36.00,36.00,36.00,36.06,26.75,3.6297,1.9989,0.026098027777777782,2
2.753,36.00,35.75,36.00,36.00,35.94,26.69,3.6302,1.9989,0.02720852777777778,2
2.786,36.00,36.00,35.75,36.00,35.94,26.75,3.6307,1.9989,0.028319027777777776,2
2.820,36.00,35.75,35.75,36.00,35.88,26.75,3.6312,1.999,0.029429555555555556,2
2.853,35.75,35.75,35.75,35.75,35.75,26.69,3.6317,1.9989,0.030540083333333332,2
2.886,35.75,35.75,35.75,35.75,35.75,26.75,3.6322,1.9989,0.03165058333333333,2
