00.00,29.50,29.25,29.25,29.50,29.38,27.94
58.29,29.75,29.50,29.50,29.50,29.56,27.94
60.38,29.50,29.50,29.50,29.75,29.56,27.94
62.29,29.75,29.50,29.50,29.75,29.62,28.00
64.29,29.75,29.50,29.50,29.75,29.62,28.00
66.37,29.75,29.50,29.50,29.50,29.56,27.94
68.43,29.50,29.50,29.50,29.50,29.50,27.94
70.42,29.25,29.50,29.25,29.25,29.31,27.94
72.47,29.25,29.25,29.25,29.25,29.25,28.00
74.47,29.00,29.25,29.25,29.00,29.12,28.00
76.45,28.75,29.00,29.00,29.00,28.94,28.00
78.49,28.75,28.75,28.75,28.50,28.69,28.00
80.63,28.50,28.75,28.75,28.50,28.62,28.00
82.65,28.25,28.50,28.25,28.00,28.25,28.00
84.72,27.75,28.25,28.25,27.75,28.00,28.00
86.66,27.50,28.00,28.00,27.50,27.75,27.94
88.62,27.50,27.75,27.75,27.25,27.56,28.00
90.62,27.25,27.50,27.50,27.00,27.31,27.94
92.58,26.50,27.25,27.25,26.75,26.94,28.00
94.53,26.50,27.00,26.75,26.50,26.69,28.00
96.53,26.25,26.75,26.75,26.25,26.50,28.00
98.30,26.00,26.75,26.50,25.75,26.25,27.94
100.32,25.75,26.50,26.25,25.75,26.06,28.00
102.36,25.50,26.25,25.75,25.25,25.69,28.06
104.35,25.25,25.75,25.75,25.25,25.50,28.06
106.35,25.00,25.75,25.50,24.75,25.25,28.00
108.50,24.75,25.25,25.00,24.50,24.88,28.00
110.49,24.50,25.00,25.00,24.25,24.69,28.00
112.47,24.25,25.00,24.75,24.25,24.56,28.06
114.49,24.00,24.75,24.25,24.00,24.25,28.06
116.47,23.75,24.50,24.00,23.50,23.94,28.06
118.46,23.50,24.00,24.00,23.25,23.69,28.06
120.48,23.25,24.00,23.75,23.25,23.56,28.00
122.32,23.00,23.50,23.50,23.00,23.25,28.00
124.33,23.00,23.50,23.25,22.75,23.12,28.06
126.35,22.50,23.25,23.00,22.50,22.81,28.00
128.34,22.50,23.00,22.75,22.25,22.62,28.06
130.35,22.25,22.75,22.50,22.00,22.38,28.06
132.37,22.00,22.50,22.50,22.00,22.25,28.06
134.36,21.75,22.25,22.25,21.75,22.00,28.06
136.48,21.50,22.25,22.00,21.50,21.81,28.06
138.53,21.25,22.00,21.75,21.25,21.56,28.06
140.51,21.25,21.75,21.75,21.00,21.44,28.06
142.50,21.00,21.50,21.50,20.75,21.19,28.06
144.54,20.75,21.50,21.00,20.75,21.00,28.12
146.53,20.75,21.25,21.00,20.50,20.88,28.06
148.52,20.50,21.00,20.75,20.25,20.62,28.06
150.56,20.25,20.75,20.75,20.25,20.50,28.12
152.56,20.00,20.75,20.50,19.75,20.25,28.12
154.55,19.75,20.50,20.25,19.75,20.06,28.12
156.62,19.50,20.25,20.00,19.50,19.81,28.06
158.63,19.50,20.00,19.75,19.25,19.62,28.12
160.79,19.25,19.75,19.50,19.25,19.44,28.12
162.86,19.00,19.50,19.50,19.00,19.25,28.12
164.87,19.00,19.50,19.25,18.75,19.12,28.12
166.88,18.75,19.25,19.25,18.75,19.00,28.19
168.91,18.75,19.25,19.25,18.50,18.94,28.12
170.91,18.50,19.00,18.75,18.50,18.69,28.12
172.91,18.50,19.00,18.75,18.50,18.69,28.12
174.95,18.25,18.75,18.75,18.50,18.56,28.19
176.95,18.25,18.75,18.50,18.25,18.44,28.12
