00.00,30.00,30.00,30.00,30.25,30.06,26.50,0,0,0
02.44,30.25,30.25,30.25,30.25,30.25,26.50,0,0,0
06.88,30.00,30.25,30.25,30.25,30.19,26.44,0,0,0
13.33,30.00,30.25,30.00,30.25,30.12,26.50,0,0,0
21.83,30.00,30.25,30.00,30.25,30.12,26.50,0,0,0
32.34,30.25,30.25,30.00,30.00,30.12,26.56,0,0,0
44.87,30.25,30.00,30.00,30.25,30.12,26.50,0,0,0
59.32,30.00,30.25,30.00,30.25,30.12,26.50,0,0,0
75.79,30.25,30.00,30.00,30.00,30.06,26.50,0,0,0
94.26,30.00,30.00,30.00,30.00,30.00,26.56,0,0,0
114.74,30.25,30.00,30.00,30.00,30.06,26.50,0,0,0
137.23,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
161.73,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
188.42,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
217.10,30.00,30.00,30.00,30.00,30.00,26.56,0,0,0
247.74,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
280.26,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
314.78,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
351.31,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
389.94,29.75,30.00,30.00,30.00,29.94,26.50,0,0,0
430.54,30.00,29.75,30.00,30.00,29.94,26.50,0,0,0
473.11,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
517.64,30.00,30.00,30.00,30.00,30.00,26.56,0,0,0
564.19,30.00,30.00,30.00,30.00,30.00,26.56,0,0,0
612.74,30.00,29.75,30.00,30.00,29.94,26.50,0,0,0
663.36,30.00,30.00,30.00,30.00,30.00,26.56,0,0,0
715.92,29.75,29.75,30.00,29.75,29.81,26.50,0,0,0
770.50,29.75,30.00,30.00,29.75,29.88,26.50,0,0,0
827.07,30.00,29.75,29.75,29.75,29.81,26.50,0,0,0
885.65,30.00,29.75,29.75,30.00,29.88,26.50,0,0,0
946.25,30.00,29.75,29.75,30.00,29.88,26.50,0,0,0
1009.01,30.00,30.00,29.75,30.00,29.94,26.50,0,0,0
1073.92,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
1141.05,29.75,30.00,30.00,30.00,29.94,26.50,0,0,0
1210.23,30.00,30.00,30.00,30.00,30.00,26.44,0,0,0
1281.53,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
1354.99,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
1430.88,30.00,30.00,30.00,30.00,30.00,26.56,0,0,0
1509.14,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
1589.39,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
1671.61,30.00,30.00,30.00,30.00,30.00,26.50,0,0,0
