created_at,entry_id,field2
2024-06-07 17:14:23 UTC,1865,67.86660
2024-06-07 17:14:39 UTC,1866,62.90666
2024-06-07 17:14:55 UTC,1867,70.60802
2024-06-07 17:15:11 UTC,1868,65.89029
2024-06-07 17:15:27 UTC,1869,73.61131
2024-06-07 17:15:43 UTC,1870,74.77059
2024-06-07 17:15:59 UTC,1871,77.42127
2024-06-07 17:16:15 UTC,1872,76.72070
2024-06-07 17:16:31 UTC,1873,60.02266
2024-06-07 17:16:47 UTC,1874,67.10294
2024-06-07 17:17:03 UTC,1875,70.61292
2024-06-07 17:17:19 UTC,1876,64.75385
2024-06-07 17:17:35 UTC,1877,65.09282
2024-06-07 17:17:51 UTC,1878,62.83449
2024-06-07 17:18:07 UTC,1879,66.99742
2024-06-07 17:18:23 UTC,1880,64.25617
2024-06-07 17:18:39 UTC,1881,64.91863
2024-06-07 17:18:55 UTC,1882,65.63867
2024-06-07 17:19:11 UTC,1883,66.78373
2024-06-07 17:19:27 UTC,1884,68.93185
2024-06-07 17:19:43 UTC,1885,66.53246
2024-06-07 17:19:59 UTC,1886,60.69342
2024-06-07 17:20:15 UTC,1887,60.38740
2024-06-07 17:20:31 UTC,1888,66.72247
2024-06-07 17:20:49 UTC,1889,61.89403
2024-06-07 17:21:05 UTC,1890,61.48105
2024-06-07 17:21:21 UTC,1891,66.10667
2024-06-07 17:21:37 UTC,1892,64.31508
2024-06-07 17:21:53 UTC,1893,69.63081
2024-06-07 17:22:11 UTC,1894,63.72545
2024-06-07 17:22:26 UTC,1895,58.98935
2024-06-07 17:22:42 UTC,1896,64.03581
2024-06-07 17:22:58 UTC,1897,63.61417
2024-06-07 17:23:14 UTC,1898,62.97591
2024-06-07 17:23:30 UTC,1899,71.19029
2024-06-07 17:23:49 UTC,1900,63.92903
2024-06-07 17:24:04 UTC,1901,67.96194
2024-06-07 17:24:20 UTC,1902,59.47694
2024-06-07 17:24:36 UTC,1903,61.94352
2024-06-07 17:24:52 UTC,1904,64.79417
2024-06-07 17:25:08 UTC,1905,55.37328
2024-06-07 17:25:24 UTC,1906,61.28706
2024-06-07 17:25:40 UTC,1907,64.45564
2024-06-07 17:25:56 UTC,1908,61.45677
2024-06-07 17:26:12 UTC,1909,59.20833
2024-06-07 17:26:28 UTC,1910,66.91589
2024-06-07 17:26:44 UTC,1911,59.73897
2024-06-07 17:27:00 UTC,1912,65.43118
2024-06-07 17:27:16 UTC,1913,61.07126
2024-06-07 17:27:33 UTC,1914,62.36309
2024-06-07 17:27:48 UTC,1915,61.24571
2024-06-07 17:28:04 UTC,1916,62.18602
2024-06-07 17:28:20 UTC,1917,60.14812
2024-06-07 17:28:36 UTC,1918,62.74157
2024-06-07 17:28:52 UTC,1919,65.11678
2024-06-07 17:29:08 UTC,1920,57.01669
2024-06-07 17:29:24 UTC,1921,60.08498
2024-06-07 17:29:40 UTC,1922,62.78931
2024-06-07 17:29:56 UTC,1923,58.94154
2024-06-07 17:30:12 UTC,1924,60.54497
2024-06-07 17:30:28 UTC,1925,52.38028
2024-06-07 17:30:44 UTC,1926,53.89498
2024-06-07 17:31:00 UTC,1927,52.26479
2024-06-07 17:31:16 UTC,1928,58.10439
2024-06-07 17:31:32 UTC,1929,56.34236
2024-06-07 17:31:48 UTC,1930,56.51839
2024-06-07 17:32:04 UTC,1931,61.83150
2024-06-07 17:32:20 UTC,1932,58.73649
2024-06-07 17:32:36 UTC,1933,63.96443
2024-06-07 17:32:52 UTC,1934,66.09081
2024-06-07 17:33:08 UTC,1935,58.40871
2024-06-07 17:33:24 UTC,1936,56.43974
2024-06-07 17:33:40 UTC,1937,51.90651
2024-06-07 17:33:56 UTC,1938,58.89467
2024-06-07 17:34:12 UTC,1939,52.88482
2024-06-07 17:34:28 UTC,1940,52.76371
2024-06-07 17:34:44 UTC,1941,61.97632
2024-06-07 17:35:00 UTC,1942,52.18695
2024-06-07 17:35:16 UTC,1943,63.76118
2024-06-07 17:35:32 UTC,1944,50.70404
2024-06-07 17:35:48 UTC,1945,49.11963
2024-06-07 17:36:04 UTC,1946,60.19326
2024-06-07 17:36:20 UTC,1947,51.04642
2024-06-07 17:36:36 UTC,1948,60.59506
2024-06-07 17:36:52 UTC,1949,53.91969
2024-06-07 17:37:08 UTC,1950,58.05725
2024-06-07 17:37:24 UTC,1951,55.90202
2024-06-07 17:37:40 UTC,1952,52.27748
2024-06-07 17:37:57 UTC,1953,58.33973
2024-06-07 17:38:12 UTC,1954,54.50958
2024-06-07 17:38:28 UTC,1955,57.38114
2024-06-07 17:38:44 UTC,1956,52.33548
2024-06-07 17:39:00 UTC,1957,53.43504
2024-06-07 17:39:16 UTC,1958,61.67947
2024-06-07 17:39:32 UTC,1959,50.74231
2024-06-07 17:39:48 UTC,1960,52.72142
2024-06-07 17:40:04 UTC,1961,52.06947
2024-06-07 17:40:20 UTC,1962,54.95474
2024-06-07 17:40:36 UTC,1963,64.84946
2024-06-07 19:10:01 UTC,1964,59.84268
