created_at,entry_id,field1
2024-06-07 17:14:23 UTC,1865,62.34478
2024-06-07 17:14:39 UTC,1866,57.93963
2024-06-07 17:14:55 UTC,1867,65.35464
2024-06-07 17:15:11 UTC,1868,62.41065
2024-06-07 17:15:27 UTC,1869,70.04475
2024-06-07 17:15:43 UTC,1870,71.99224
2024-06-07 17:15:59 UTC,1871,73.35734
2024-06-07 17:16:15 UTC,1872,70.34361
2024-06-07 17:16:31 UTC,1873,58.14666
2024-06-07 17:16:47 UTC,1874,61.49130
2024-06-07 17:17:03 UTC,1875,63.99645
2024-06-07 17:17:19 UTC,1876,61.02542
2024-06-07 17:17:35 UTC,1877,59.54191
2024-06-07 17:17:51 UTC,1878,59.52810
2024-06-07 17:18:07 UTC,1879,63.79858
2024-06-07 17:18:23 UTC,1880,59.20361
2024-06-07 17:18:39 UTC,1881,61.97473
2024-06-07 17:18:55 UTC,1882,62.80352
2024-06-07 17:19:11 UTC,1883,63.29045
2024-06-07 17:19:27 UTC,1884,65.67474
2024-06-07 17:19:43 UTC,1885,62.62366
2024-06-07 17:19:59 UTC,1886,56.90749
2024-06-07 17:20:15 UTC,1887,57.88976
2024-06-07 17:20:31 UTC,1888,62.94743
2024-06-07 17:20:49 UTC,1889,58.86013
2024-06-07 17:21:05 UTC,1890,59.05701
2024-06-07 17:21:21 UTC,1891,59.81054
2024-06-07 17:21:37 UTC,1892,60.74758
2024-06-07 17:21:53 UTC,1893,64.17484
2024-06-07 17:22:11 UTC,1894,60.02607
2024-06-07 17:22:26 UTC,1895,55.60083
2024-06-07 17:22:42 UTC,1896,58.13393
2024-06-07 17:22:58 UTC,1897,60.09125
2024-06-07 17:23:14 UTC,1898,59.15033
2024-06-07 17:23:30 UTC,1899,63.34059
2024-06-07 17:23:49 UTC,1900,61.02140
2024-06-07 17:24:04 UTC,1901,62.13145
2024-06-07 17:24:20 UTC,1902,55.84618
2024-06-07 17:24:36 UTC,1903,56.06264
2024-06-07 17:24:52 UTC,1904,59.27322
2024-06-07 17:25:08 UTC,1905,53.21285
2024-06-07 17:25:24 UTC,1906,55.83659
2024-06-07 17:25:40 UTC,1907,59.62541
2024-06-07 17:25:56 UTC,1908,56.02982
2024-06-07 17:26:12 UTC,1909,56.34313
2024-06-07 17:26:28 UTC,1910,61.74279
2024-06-07 17:26:44 UTC,1911,56.60672
2024-06-07 17:27:00 UTC,1912,59.55935
2024-06-07 17:27:16 UTC,1913,58.13626
2024-06-07 17:27:33 UTC,1914,57.84979
2024-06-07 17:27:48 UTC,1915,55.60807
2024-06-07 17:28:04 UTC,1916,59.30281
2024-06-07 17:28:20 UTC,1917,56.29005
2024-06-07 17:28:36 UTC,1918,56.46061
2024-06-07 17:28:52 UTC,1919,57.75462
2024-06-07 17:29:08 UTC,1920,52.71683
2024-06-07 17:29:24 UTC,1921,53.78442
2024-06-07 17:29:40 UTC,1922,59.77306
2024-06-07 17:29:56 UTC,1923,54.21195
2024-06-07 17:30:12 UTC,1924,54.85103
2024-06-07 17:30:28 UTC,1925,51.55846
2024-06-07 17:30:44 UTC,1926,51.99796
2024-06-07 17:31:00 UTC,1927,50.93819
2024-06-07 17:31:16 UTC,1928,52.75348
2024-06-07 17:31:32 UTC,1929,52.90464
2024-06-07 17:31:48 UTC,1930,52.20335
2024-06-07 17:32:04 UTC,1931,54.59664
2024-06-07 17:32:20 UTC,1932,52.29324
2024-06-07 17:32:36 UTC,1933,56.21042
2024-06-07 17:32:52 UTC,1934,57.78004
2024-06-07 17:33:08 UTC,1935,53.41056
2024-06-07 17:33:24 UTC,1936,53.15030
2024-06-07 17:33:40 UTC,1937,50.32297
2024-06-07 17:33:56 UTC,1938,52.91267
2024-06-07 17:34:12 UTC,1939,51.37109
2024-06-07 17:34:28 UTC,1940,51.52447
2024-06-07 17:34:44 UTC,1941,55.44195
2024-06-07 17:35:00 UTC,1942,50.45922
2024-06-07 17:35:16 UTC,1943,55.83728
2024-06-07 17:35:32 UTC,1944,49.46692
2024-06-07 17:35:48 UTC,1945,48.94680
2024-06-07 17:36:04 UTC,1946,53.04511
2024-06-07 17:36:20 UTC,1947,50.12959
2024-06-07 17:36:36 UTC,1948,55.38308
2024-06-07 17:36:52 UTC,1949,52.10562
2024-06-07 17:37:08 UTC,1950,54.47532
2024-06-07 17:37:24 UTC,1951,53.96820
2024-06-07 17:37:40 UTC,1952,50.48127
2024-06-07 17:37:57 UTC,1953,54.56309
2024-06-07 17:38:12 UTC,1954,52.67669
2024-06-07 17:38:28 UTC,1955,53.89622
2024-06-07 17:38:44 UTC,1956,50.35979
2024-06-07 17:39:00 UTC,1957,50.76892
2024-06-07 17:39:16 UTC,1958,54.62037
2024-06-07 17:39:32 UTC,1959,49.85338
2024-06-07 17:39:48 UTC,1960,50.67204
2024-06-07 17:40:04 UTC,1961,51.10403
2024-06-07 17:40:20 UTC,1962,52.57729
2024-06-07 17:40:36 UTC,1963,57.57337
2024-06-07 19:10:01 UTC,1964,55.56094
