5.849,30.00,30.00,30.00,30.00,30.00,26.75,3.6489,1.9982,2
5.932,30.00,30.00,30.00,30.00,30.00,26.69,3.6502,1.9982,2
6.016,30.00,30.00,30.00,30.00,30.00,26.75,3.6514,1.9981,2
6.099,30.00,30.00,30.00,30.00,30.00,26.75,3.6527,1.9981,2
6.183,30.00,30.00,30.00,30.00,30.00,26.75,3.6539,1.9982,2
6.266,30.00,30.00,30.00,30.00,30.00,26.69,3.6548,1.9981,2
6.350,30.00,30.00,30.00,30.00,30.00,26.69,3.656,1.9981,2
6.433,30.00,30.00,30.00,30.00,30.00,26.69,3.6572,1.9981,2
6.517,30.00,30.00,30.00,30.00,30.00,26.75,3.6583,1.9982,2
6.600,30.00,30.00,30.00,30.00,30.00,26.69,3.6593,1.9981,2
6.684,30.00,30.00,30.00,30.00,30.00,26.69,3.6605,1.9981,2
6.767,30.00,30.00,30.00,30.00,30.00,26.69,3.6614,1.9981,2
6.850,30.00,30.00,30.00,30.00,30.00,26.75,3.6624,1.9981,2
6.934,30.00,30.00,30.00,30.00,30.00,26.69,3.6634,1.9981,2
7.017,30.00,30.00,30.00,30.00,30.00,26.69,3.6644,1.9981,2
7.101,30.00,30.00,30.00,30.00,30.00,26.69,3.6654,1.9981,2
7.184,30.00,30.00,30.00,30.00,30.00,26.75,3.6664,1.998,2
7.268,30.00,30.00,30.00,30.00,30.00,26.69,3.6672,1.998,2
7.351,30.00,30.00,30.00,30.00,30.00,26.75,3.6681,1.998,2
7.435,30.00,30.00,30.00,30.00,30.00,26.75,3.669,1.998,2
7.518,30.00,30.00,30.00,30.00,30.00,26.75,3.67,1.998,2
7.602,30.00,30.00,30.00,30.00,30.00,26.69,3.6708,1.998,2
7.685,30.00,30.00,30.00,30.00,30.00,26.69,3.6717,1.998,2
7.769,30.00,30.00,30.00,30.00,30.00,26.69,3.6725,1.998,2
7.852,30.00,30.00,30.00,30.00,30.00,26.69,3.6734,1.998,2
7.936,30.00,30.00,30.00,30.00,30.00,26.75,3.6743,1.998,2
8.019,30.00,30.00,30.00,30.00,30.00,26.69,3.6751,1.998,2
8.103,30.00,30.00,30.00,30.00,30.00,26.75,3.676,1.9979,2
8.186,30.00,29.75,30.00,30.00,29.94,26.69,3.6768,1.998,2
8.270,30.00,30.00,30.00,30.00,30.00,26.81,3.6774,1.998,2
8.353,30.00,30.00,30.00,29.75,29.94,26.69,3.6783,1.998,2
8.436,30.00,30.00,30.00,30.00,30.00,26.75,3.6792,1.9979,2
8.520,30.00,30.00,30.00,30.00,30.00,26.69,3.6799,1.9979,2
8.603,30.00,30.00,30.00,30.00,30.00,26.69,3.6808,1.9979,2
8.687,30.00,30.00,30.00,30.00,30.00,26.69,3.6815,1.9979,2
8.770,30.00,30.00,30.00,30.00,30.00,26.69,3.6822,1.9979,2
8.854,30.00,30.00,30.00,30.00,30.00,26.81,3.683,1.9979,2
8.937,30.00,30.00,30.00,30.00,30.00,26.75,3.6838,1.9979,2
9.021,30.00,30.00,30.00,30.00,30.00,26.75,3.6844,1.9979,2
9.104,30.00,30.00,30.00,30.00,30.00,26.75,3.6851,1.9979,2
9.188,30.00,30.00,30.00,30.00,30.00,26.75,3.686,1.9979,2
9.271,30.00,30.00,30.00,30.00,30.00,26.75,3.6867,1.9979,2
9.355,30.00,30.00,30.00,30.00,30.00,26.69,3.6875,1.9979,2
9.438,30.00,30.00,30.00,30.00,30.00,26.75,3.6882,1.9978,2
9.522,30.00,30.00,30.00,30.00,30.00,26.69,3.6889,1.9978,2
9.605,30.00,30.00,30.00,30.00,30.00,26.75,3.6896,1.9978,2
9.689,30.00,30.00,30.00,30.00,30.00,26.75,3.6904,1.9978,2
9.772,30.00,30.00,30.00,30.00,30.00,26.75,3.6911,1.9979,2
9.856,30.00,30.00,30.00,30.00,30.00,26.75,3.6917,1.9978,2
9.939,30.00,30.00,30.00,30.00,30.00,26.69,3.6926,1.9978,2
10.023,30.00,30.00,30.00,30.00,30.00,26.69,3.6933,1.9978,2
10.106,30.00,30.00,30.00,30.00,30.00,26.69,3.694,1.9978,2
10.190,30.00,30.00,30.00,30.00,30.00,26.75,3.6948,1.9978,2
10.273,30.00,30.00,30.00,30.00,30.00,26.75,3.6954,1.9978,2
10.356,30.00,30.00,30.00,30.00,30.00,26.75,3.6963,1.9978,2
10.440,30.00,30.00,30.00,30.00,30.00,26.69,3.6969,1.9978,2
10.524,30.00,30.00,30.00,30.00,30.00,26.69,3.6975,1.9978,2
10.607,30.00,30.00,30.00,30.00,30.00,26.69,3.6983,1.9978,2
10.691,30.00,30.00,30.00,30.00,30.00,26.75,3.699,1.9978,2
10.774,30.00,30.00,30.00,30.00,30.00,26.69,3.6998,1.9978,2
10.857,30.00,30.00,30.00,30.00,30.00,26.75,3.7005,1.9978,2
10.941,30.00,30.00,30.00,30.00,30.00,26.69,3.7012,1.9978,2
11.024,30.00,30.00,30.00,30.00,30.00,26.69,3.7019,1.9978,2
11.108,30.00,30.00,30.00,30.00,30.00,26.69,3.7026,1.9977,2
11.191,30.00,30.00,30.00,30.00,30.00,26.69,3.7034,1.9977,2
11.275,30.00,30.25,30.25,30.25,30.19,26.69,3.704,1.9977,2
11.358,30.00,30.00,30.00,30.00,30.00,26.81,3.7048,1.9977,2
11.442,30.00,30.00,30.00,30.00,30.00,26.75,3.7055,1.9977,2
