Re,Rugosidad,f
7.56E+05,0.00001,0.012410
8.7E+05,0.00001,0.012134
1E+06,0.00001,0.011870
1.15E+06,0.00001,0.011617
1.32E+06,0.00001,0.011375
1.52E+06,0.00001,0.011144
1.75E+06,0.00001,0.010924
2.01E+06,0.00001,0.010714
2.31E+06,0.00001,0.010514
2.66E+06,0.00001,0.010325
3.05E+06,0.00001,0.010145
3.51E+06,0.00001,0.009976
4.04E+06,0.00001,0.009815
4.64E+06,0.00001,0.009665
5.34E+06,0.00001,0.009523
6.14E+06,0.00001,0.009391
7.05E+06,0.00001,0.009267
8.11E+06,0.00001,0.009152
9.33E+06,0.00001,0.009046
1.07E+07,0.00001,0.008948
1.23E+07,0.00001,0.020000
1.42E+07,0.00001,0.020000
1.63E+07,0.00001,0.020000
1.87E+07,0.00001,0.020000
2.15E+07,0.00001,0.020000
2.48E+07,0.00001,0.020000
2.85E+07,0.00001,0.020000
3.27E+07,0.00001,0.020000
3.76E+07,0.00001,0.020000
4.33E+07,0.00001,0.020000
4.98E+07,0.00001,0.020000
5.72E+07,0.00001,0.020000
6.58E+07,0.00001,0.020000
7.56E+07,0.00001,0.020000
8.7E+07,0.00001,0.020000
1E+08,0.00001,0.020000
1E+02,0.00010,0.169448
1.15E+02,0.00010,0.157597
1.32E+02,0.00010,0.146855
1.52E+02,0.00010,0.137095
1.75E+02,0.00010,0.128207
2.01E+02,0.00010,0.120096
2.31E+02,0.00010,0.112680
2.66E+02,0.00010,0.105884
3.05E+02,0.00010,0.099645
3.51E+02,0.00010,0.093907
4.04E+02,0.00010,0.088620
4.64E+02,0.00010,0.083741
5.34E+02,0.00010,0.079230
6.14E+02,0.00010,0.075053
7.05E+02,0.00010,0.071179
8.11E+02,0.00010,0.067581
9.33E+02,0.00010,0.064235
1.07E+03,0.00010,0.061118
1.23E+03,0.00010,0.058212
1.42E+03,0.00010,0.055498
1.63E+03,0.00010,0.052960
1.87E+03,0.00010,0.050585
2.15E+03,0.00010,0.048359
2.48E+03,0.00010,0.046271
2.85E+03,0.00010,0.044309
3.27E+03,0.00010,0.042465
3.76E+03,0.00010,0.040730
4.33E+03,0.00010,0.039095
4.98E+03,0.00010,0.037554
5.72E+03,0.00010,0.036099
6.58E+03,0.00010,0.034726
7.56E+03,0.00010,0.033428
8.7E+03,0.00010,0.032200
1E+04,0.00010,0.031037
1.15E+04,0.00010,0.029936
1.32E+04,0.00010,0.028893
1.52E+04,0.00010,0.027903
1.75E+04,0.00010,0.026964
2.01E+04,0.00010,0.026073
2.31E+04,0.00010,0.025226
2.66E+04,0.00010,0.024422
3.05E+04,0.00010,0.023658
3.51E+04,0.00010,0.022932
4.04E+04,0.00010,0.022241
4.64E+04,0.00010,0.021584
5.34E+04,0.00010,0.020960
6.14E+04,0.00010,0.020367
7.05E+04,0.00010,0.019803
8.11E+04,0.00010,0.019267
9.33E+04,0.00010,0.018758
1.07E+05,0.00010,0.018276
1.23E+05,0.00010,0.017818
1.42E+05,0.00010,0.017384
1.63E+05,0.00010,0.016973
1.87E+05,0.00010,0.016584
2.15E+05,0.00010,0.016218
2.48E+05,0.00010,0.015872
2.85E+05,0.00010,0.015547
3.27E+05,0.00010,0.015241
3.76E+05,0.00010,0.014955
4.33E+05,0.00010,0.014688
4.98E+05,0.00010,0.014438
5.72E+05,0.00010,0.014206
6.58E+05,0.00010,0.013991
7.56E+05,0.00010,0.013793
8.7E+05,0.00010,0.013610
1E+06,0.00010,0.013441
1.15E+06,0.00010,0.013288
1.32E+06,0.00010,0.013147
1.52E+06,0.00010,0.013020
1.75E+06,0.00010,0.012904
2.01E+06,0.00010,0.012800
2.31E+06,0.00010,0.012706
2.66E+06,0.00010,0.012622
3.05E+06,0.00010,0.012546
3.51E+06,0.00010,0.012479
4.04E+06,0.00010,0.012419
4.64E+06,0.00010,0.012366
5.34E+06,0.00010,0.012319
6.14E+06,0.00010,0.012277
7.05E+06,0.00010,0.012240
8.11E+06,0.00010,0.012208
9.33E+06,0.00010,0.012179
1.07E+07,0.00010,0.012154
1.23E+07,0.00010,0.012132
1.42E+07,0.00010,0.012113
1.63E+07,0.00010,0.012096
1.87E+07,0.00010,0.012081
2.15E+07,0.00010,0.012068
2.48E+07,0.00010,0.012057
2.85E+07,0.00010,0.012047
3.27E+07,0.00010,0.012038
3.76E+07,0.00010,0.012031
4.33E+07,0.00010,0.012024
4.98E+07,0.00010,0.012018
5.72E+07,0.00010,0.012013
6.58E+07,0.00010,0.012009
7.56E+07,0.00010,0.012005
8.7E+07,0.00010,0.012002
1E+08,0.00010,0.011999
1E+02,0.00100,0.169804
1.15E+02,0.00100,0.157955
1.32E+02,0.00100,0.147215
1.52E+02,0.00100,0.137459
1.75E+02,0.00100,0.128576
2.01E+02,0.00100,0.120471
2.31E+02,0.00100,0.113062
2.66E+02,0.00100,0.106275
3.05E+02,0.00100,0.100045
3.51E+02,0.00100,0.094318
4.04E+02,0.00100,0.089044
4.64E+02,0.00100,0.084178
5.34E+02,0.00100,0.079682
6.14E+02,0.00100,0.075522
7.05E+02,0.00100,0.071666
8.11E+02,0.00100,0.068088
9.33E+02,0.00100,0.064764
1.07E+03,0.00100,0.061671
1.23E+03,0.00100,0.058791
1.42E+03,0.00100,0.056105
1.63E+03,0.00100,0.053597
1.87E+03,0.00100,0.051255
2.15E+03,0.00100,0.049065
2.48E+03,0.00100,0.047015
2.85E+03,0.00100,0.045095
3.27E+03,0.00100,0.043296
3.76E+03,0.00100,0.041609
4.33E+03,0.00100,0.040027
4.98E+03,0.00100,0.038543
5.72E+03,0.00100,0.037149
6.58E+03,0.00100,0.035842
7.56E+03,0.00100,0.034614
8.7E+03,0.00100,0.033462
1E+04,0.00100,0.032382
1.15E+04,0.00100,0.031368
1.32E+04,0.00100,0.030419
1.52E+04,0.00100,0.029530
1.75E+04,0.00100,0.028698
2.01E+04,0.00100,0.027921
2.31E+04,0.00100,0.027196
2.66E+04,0.00100,0.026520
3.05E+04,0.00100,0.025892
3.51E+04,0.00100,0.025309
4.04E+04,0.00100,0.024769
4.64E+04,0.00100,0.024271
5.34E+04,0.00100,0.023811
6.14E+04,0.00100,0.023388
7.05E+04,0.00100,0.023001
8.11E+04,0.00100,0.022647
9.33E+04,0.00100,0.022325
1.07E+05,0.00100,0.022032
1.23E+05,0.00100,0.021766
1.42E+05,0.00100,0.021527
1.63E+05,0.00100,0.021311
1.87E+05,0.00100,0.021117
2.15E+05,0.00100,0.020944
2.48E+05,0.00100,0.020789
2.85E+05,0.00100,0.020651
3.27E+05,0.00100,0.020528
3.76E+05,0.00100,0.020419
4.33E+05,0.00100,0.020323
4.98E+05,0.00100,0.020238
5.72E+05,0.00100,0.020163
6.58E+05,0.00100,0.020097
7.56E+05,0.00100,0.020039
8.7E+05,0.00100,0.019988
1E+06,0.00100,0.019943
1.15E+06,0.00100,0.019904
1.32E+06,0.00100,0.019870
1.52E+06,0.00100,0.019840
1.75E+06,0.00100,0.019814
2.01E+06,0.00100,0.019791
2.31E+06,0.00100,0.019771
2.66E+06,0.00100,0.019753
3.05E+06,0.00100,0.019738
3.51E+06,0.00100,0.019725
4.04E+06,0.00100,0.019713
4.64E+06,0.00100,0.019703
5.34E+06,0.00100,0.019695
6.14E+06,0.00100,0.019687
7.05E+06,0.00100,0.019680
8.11E+06,0.00100,0.019674
9.33E+06,0.00100,0.019669
1.07E+07,0.00100,0.019665
1.23E+07,0.00100,0.019661
1.42E+07,0.00100,0.019658
1.63E+07,0.00100,0.019655
1.87E+07,0.00100,0.019652
2.15E+07,0.00100,0.019650
2.48E+07,0.00100,0.019648
2.85E+07,0.00100,0.019647
3.27E+07,0.00100,0.019645
