Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
CARRIER,1.5,Copper,1118 W,d: No,38 dB,0.0,0,₹37990,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/a/c/w/-original-image99vsfvkfsqk.jpeg?q=70
Blue,Star,Copper,1456 W, R-32,41 dB,0.0,0,₹38890,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/g/w/w/-original-imagcbthkshz9xhd.jpeg?q=70
MarQ,By,Copper,857.36 kWh, R-32,43 dB,3.9,1596,₹33499,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/air-conditioner-new/x/x/y/-original-imagbgc8wbnptgua.jpeg?q=70
MOTOROLA,1,Copper,753.9 W, R32,32 dB,4.5,204,₹28990,https://rukminim1.flixcart.com/image/312/312/ku79vgw0/air-conditioner-new/l/r/a/moto103siat-split-motorola-inverter-original-imag7dy4mgrpfugd.jpeg?q=70
Blue,Star,Copper,836.04 W, R32,63 dB,4.2,4879,₹45990,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/p/2/z/ic312ebtu-split-blue-star-inverter-original-imagf2zpawvzdyxh.jpeg?q=70
Haier,1,Copper,1200 W,d: No,37 dB,4.6,0,₹31990,https://rukminim1.flixcart.com/image/312/312/kcjexe80/air-conditioner-new/p/7/c/hsu12c-tcs3b-inv-1-split-haier-inverter-original-imaftmwhdgzggsgt.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
CARRIER,2,Copper,1942 W,d: No,57 dB,0.0,0,₹40160,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/y/r/s/-original-image99ydfrzgmug.jpeg?q=70
Daikin,0.8,Copper,767 W, R32,29 dB,4.3,1956,₹25999,https://rukminim1.flixcart.com/image/312/312/knoxnrk0/air-conditioner-new/p/6/s/ftl28tv16x2-rl28tv16x2-split-daikin-fixed-speed-original-imag2b4vnqejehqv.jpeg?q=70
Panasonic,1.5,Copper,1350 W, R32,48 dB,4.5,152,₹47000,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/k/r/z/cs-cu-tu18vkyw-inverter-r32-mps-1-5-split-panasonic-inverter-original-imafu44gcyayfn9u.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1.5,Copper,848.28 W, R-32,47 db,4.2,154,₹50990,https://rukminim1.flixcart.com/image/312/312/knhsgi80/air-conditioner-new/q/q/f/cs-hu18xkyf-cu-hu18xkyf-split-panasonic-inverter-original-imag262yw4ghcurr.jpeg?q=70
Lloyd,1.5,Copper,1077.45 kWh, R-32,40 dB,3.6,0,₹39400,https://rukminim1.flixcart.com/image/312/312/kn4xhu80/air-conditioner-new/s/r/n/ls18i35wshd-split-lloyd-inverter-original-imagfw5bjcwqfexw.jpeg?q=70
Voltas,1,Copper,1130 W, R32,39.5 dB,4.2,0,₹29898,https://rukminim1.flixcart.com/image/312/312/ka2tmkw0/air-conditioner-new/f/h/4/sac-123v-cztt-1-split-inverter-voltas-original-imafrqahwywvggpn.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Panasonic,1.5,Copper,1122.45 kWh,d: No,46 dB,0.0,0,₹38828,https://rukminim1.flixcart.com/image/312/312/krkyt8w0/air-conditioner-new/u/8/t/cs-kn18xky-cu-kn18xky-split-inverter-panasonic-original-imag5bmnepp8zd8s.jpeg?q=70
LG,1.5,Copper,818.81 W,d: Yes,31 dB,4.0,0,₹45990,https://rukminim1.flixcart.com/image/312/312/kll7bm80/air-conditioner-new/3/f/m/ms-q18gwzd-split-lg-inverter-original-imagyz4gpkqx9rdg.jpeg?q=70
Voltas,1.5,Copper,1520 W, R32,46 dB,4.2,3719,₹37499,https://rukminim1.flixcart.com/image/312/312/jua4djk0/air-conditioner-new/n/q/v/sac-184v-szs-1-5-split-voltas-inverter-original-imaff8g63thtgysz.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Voltas,1.5,Copper,1350 W,d: No,42 dB,3.9,0,₹37900,https://rukminim1.flixcart.com/image/312/312/jt395zk0/air-conditioner-new/n/a/n/185v-dza-1-5-window-voltas-original-imafegggkwhygrew.jpeg?q=70
Micromax,1,Copper,997 W,d: No,41 dB,4.0,1074,₹27700,https://rukminim1.flixcart.com/image/312/312/kcuug7k0/air-conditioner-new/h/d/m/acs12c3c4qs3wh-mps-1-split-micromax-fixed-speed-original-imaftw6wknj4yttc.jpeg?q=70
LG,1.5,Copper,5000 W, R - 32,26 dB,0.0,0,₹38729,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/air-conditioner-new/f/m/u/-original-imagc875wwz6qsxw.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Lloyd,1.5,Copper,1686 W,d: No,52 dB,0.0,0,₹35890,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/r/f/a/-original-imagfzryhhhfavpn.jpeg?q=70
CARRIER,1,Copper,995 W,d: No,40 dB,0.0,0,₹43505,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/r/h/g/-original-imagfzrybz4kwzzc.jpeg?q=70
Daikin,1.5,Copper,1325 W,d: No,32 dB,3.7,0,₹47690,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/u/h/x/-original-imagcmh3e27e5puj.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.1,447,₹35490,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/2/4/g/-original-imagae8qmgmdsufu.jpeg?q=70
Panasonic,1.5,Copper,1870 W,d: Yes,48 dB,0.0,0,₹39914,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/w/m/m/-original-imagfzpdz34kncqb.jpeg?q=70
Daikin,1.5,Copper,1600 W,d: No,32 dB,4.9,0,₹44316,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/z/l/7/-original-imagcmh2afchbyjh.jpeg?q=70
Blue,Star,Copper,1124.78 W, R32,62.5 dB,4.2,1790,₹38409,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/n/m/k/fs312ebtu-split-blue-star-fixed-speed-original-imagf2zpzhmvdxgh.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
CARRIER,1,Copper,995 W,d: No,39 dB,0.0,0,₹33610,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/f/8/y/-original-imagfzpcz25uqcuf.jpeg?q=70
Blue,Star,Copper,1790 W, R - 32,43.6 dB,0.0,0,₹48990,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/i/q/q/-original-imagccgv7ph7yady.jpeg?q=70
LumX,1.5,Copper,1440 W, R32,43 dB,4.5,0,₹28990,https://rukminim1.flixcart.com/image/312/312/kr58yvk0/air-conditioner-new/v/g/j/lx184inhdm-split-inverter-lumx-original-imag5yd8da5wgfgj.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
CARRIER,1,Copper,980 W,d: No,39 dB,0.0,0,₹34999,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/f/m/4/-original-imagfzpct86yhuhg.jpeg?q=70
Daikin,1,Copper,1145 W, R-32,27 dB,0.0,0,₹35600,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/k/r/a/-original-imagbwukgufc8tjc.jpeg?q=70
iFFALCON,1,Copper,1120 W, R-32,37 dB,4.1,0,₹26490,https://rukminim1.flixcart.com/image/312/312/kr2e3680/air-conditioner-new/7/k/t/fac-12csd-ev3s-split-inverter-iffalcon-by-tcl-original-imag4xtxbhg6qkgg.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Daikin,1.5,Copper,1670 W,d: No,46 dB,0.0,0,₹42825,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/c/j/b/-original-imagfzzwfzfxtzbc.jpeg?q=70
Haier,0.9,Copper,704 W, R - 32,26 dB,4.0,100,₹25990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/v/d/t/-original-imagch45txvbhgdv.jpeg?q=70
SAMSUNG,1.5,Copper,1749 W,d: No,52 dB,0.0,0,₹39543,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/m/u/a/ar18ty3qcbr-1-5-split-samsung-inverter-original-imafwefy22fsttyw.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Whirlpool,1.5,Copper,1365 W, R32,43 dB,4.2,28442,₹42899,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70
Voltas,1.5,Copper,1590 W,d: No,52 dB,4.2,3633,₹35999,https://rukminim1.flixcart.com/image/312/312/k12go7k0/air-conditioner-new/k/r/g/183-vczj-r-32-1-5-split-inverter-voltas-original-imafkhpavazpw4tk.jpeg?q=70
Panasonic,1.5,Copper,1650 W, R32,48 dB,4.5,152,₹43000,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/z/h/y/cs-cu-ru18vkyw-inverter-r32-mps-1-5-split-panasonic-inverter-original-imafu44gx24xf5fw.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1,Copper,1050 W,d: Yes,38 dB,0.0,0,₹37900,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/w/8/u/-original-imagcmh2znhnyhgz.jpeg?q=70
CARRIER,1,Copper,995 W,d: No,39 dB,0.0,0,₹33605,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/f/8/y/-original-imagfzpcz25uqcuf.jpeg?q=70
CARRIER,1.5,Copper,1560 W,d: No,48 dB,4.4,0,₹39100,https://rukminim1.flixcart.com/image/312/312/k7nnrm80/air-conditioner-new/g/z/h/18k-estrella-neo-5-star-window-1-5-window-inverter-carrier-original-imafpuq6bj3uh26a.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Hitachi,1.5,Copper,1550 W,d: No,60 dB,0.0,0,₹43470,https://rukminim1.flixcart.com/image/312/312/ktvucnk0/air-conditioner-new/z/n/z/rsng318hdxa-split-hitachi-inverter-original-imag74rhudhu4fhm.jpeg?q=70
Voltas,1.5,Copper,1760 W,d: No,R410A,4.3,5226,₹37800,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/h/h/p/183vczt-183vczt-2-183vczt-3-mps-1-5-split-voltas-inverter-original-imafu44gdzzqch2j.jpeg?q=70
LIVPURE,1.5,Copper,1600 W, R32,48 dB,4.2,2586,₹36990,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/air-conditioner-new/s/w/i/hks-in18k3s19a-split-livpure-inverter-original-imagfxxhxuvy6v9a.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Whirlpool,1.5,Copper,1450 W,d: No,38 dB,0.0,0,₹36865,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/z/i/c/-original-imagfzzwcgey8gma.jpeg?q=70
SAMSUNG,Windfree,Copper,912.54 kWh,d: No,45 dB,0.0,0,₹39990,https://rukminim1.flixcart.com/image/312/312/kt8zb0w0/air-conditioner-new/s/c/c/ar18ay4afwk-split-inverter-samsung-original-imag6msaxktfrkgf.jpeg?q=70
SAMSUNG,2,Copper,1820 W, R32,35 dB,2.3,0,₹47879,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/w/e/s/-original-imagcbtzjf2f2ekf.jpeg?q=70
Haier,2,Copper,1937 W, R32,40 dB,3.3,0,₹39490,https://rukminim1.flixcart.com/image/312/312/k8j3gcw0/air-conditioner-new/4/7/f/hsu22t-tfw1b-2-split-fixed-speed-haier-original-imafqjywwxzb8ega.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Daikin,1.5,Copper,1602 W, R-32,32 dB,3.0,0,₹41990,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/k/r/a/-original-imagbwukgufc8tjc.jpeg?q=70
Daikin,1.5,Copper,1315 W,d: No,47 dB,4.4,0,₹59900,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/g/z/g/ftkp71tv16t-rkp71tv16t-mps-2-2-split-na-inverter-original-imafu44gjnqceu6y.jpeg?q=70
Hitachi,1.8,Copper,1405 kWh,d: No,37 dB,3.7,0,₹46199,https://rukminim1.flixcart.com/image/312/312/kybvo280/air-conditioner-new/c/1/q/-original-imagah388abthey7.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
SAMSUNG,1,Copper,711.4 kWh,d: No,42 dB,3.8,0,₹30699,https://rukminim1.flixcart.com/image/312/312/koudfgw0/air-conditioner-new/j/i/v/ar12tg3bbwk-split-samsung-fixed-speed-original-imag37xse69yzsa9.jpeg?q=70
Whirlpool,1,Copper,758.86 W, R32,37 dB,3.9,0,₹31990,https://rukminim1.flixcart.com/image/312/312/kae95e80/air-conditioner-new/c/z/j/3d-cool-elite-pro-1-split-inverter-whirlpool-original-imafrz8yefufzd9k.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Daikin,1.5,Copper,1740 W, R-32,35 dB,4.0,0,₹42990,https://rukminim1.flixcart.com/image/312/312/k0r15e80/air-conditioner-new/v/a/g/ftkt50tv16u-1-5-split-inverter-daikin-original-imafkhgg6z3pbksc.jpeg?q=70
Voltas,1.5,Copper,1540 W, R32,46 dB,4.2,678,0,https://rukminim1.flixcart.com/image/312/312/l3bx5e80/air-conditioner-new/x/8/y/-original-imagegwzvm77vfwt.jpeg?q=70
Daikin,0.8,Copper,709 W, R-32,43 dB,4.1,907,₹26999,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/air-conditioner-new/x/9/6/-original-imagbp2vmjdwthw6.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Whirlpool,4,Copper,840 W, R - 32,31 dB,4.0,5181,₹34990,https://rukminim1.flixcart.com/image/312/312/l0pm3680/air-conditioner-new/1/s/x/-original-imagcfvuqf8tezzr.jpeg?q=70
Blue,Star,Copper,521.6 W,d: No,55 dB,4.2,4879,₹29990,https://rukminim1.flixcart.com/image/312/312/k4hcjgw0/air-conditioner-new/g/r/h/ic312rbtu-1-5-split-inverter-blue-star-original-imafn8w6vekpzqud.jpeg?q=70
Daikin,1.5,Copper,1290 W, R - 32,47 dB,4.3,109,₹46990,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/j/t/t/-original-image98gshgf5hnr.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Voltas,1.5,Copper,1690 W, R32,46 dB,4.0,837,₹32990,https://rukminim1.flixcart.com/image/312/312/l27wtjk0/air-conditioner-new/h/0/i/-original-imagdhv8jdszr6zz.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.1,447,₹35490,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/2/4/g/-original-imagae8qmgmdsufu.jpeg?q=70
Voltas,1.5,Copper,1729 W, R-32,58 dB,4.3,5995,₹28999,https://rukminim1.flixcart.com/image/312/312/jy3anbk0/air-conditioner-new/z/b/y/183-dza-r32-1-5-window-fixed-speed-voltas-original-imafgbz9hpnkwhs4.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Whirlpool,4,Copper,1450 W, R-32,45 dB,4.0,3068,₹32490,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/air-conditioner-new/e/o/5/-original-imagayahvzg5hhsr.jpeg?q=70
Lloyd,1.5,Copper,1087.62 kWh, R-32,42 dB,4.1,417,₹34499,https://rukminim1.flixcart.com/image/312/312/l0wrafk0/air-conditioner-new/n/n/b/-original-imagch5mgjuzf5t6.jpeg?q=70
Voltas,1,Copper,,oduct and 4 Years on Compressor,: No,4.2,2452,₹26297,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/4/p/b/123lzf-123lzf-r32-mps-1-window-voltas-fixed-speed-original-imafu44g2w4engy5.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Voltas,1.5,Copper,1685 W,d: No,46 dB,4.2,0,₹33999,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/n/o/g/-original-imagcmhfvxzjqffd.jpeg?q=70
Lloyd,1,Copper,735.4 kWh, R-32,40 dB,4.1,417,₹29499,https://rukminim1.flixcart.com/image/312/312/l0wrafk0/air-conditioner-new/n/n/b/-original-imagch5mgjuzf5t6.jpeg?q=70
Godrej,1.5,Copper,840.2 kWh, R32,43 dB,4.4,237,₹39990,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/air-conditioner-new/i/7/k/-original-imagczpgw6hrhbdb.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Voltas,0.8,Copper,826 W, R22/ R32,46 dB,4.1,3277,₹26499,https://rukminim1.flixcart.com/image/312/312/k5o7r0w0/air-conditioner-new/j/g/k/sac-103-dzx-0-8-split-fixed-speed-voltas-original-imafzavu7ufmsetd.jpeg?q=70
Panasonic,2,Copper,1264.42 W, R-32,50 db,4.3,10156,₹51990,https://rukminim1.flixcart.com/image/312/312/kltryq80/air-conditioner-new/1/y/i/cs-su24xkyw-cu-su24xkyw-split-panasonic-inverter-original-imagyugn6kptwwuz.jpeg?q=70
Godrej,1.5,Copper,840.2 kWh, R32,43 dB,4.4,237,₹39990,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/air-conditioner-new/i/7/k/-original-imagczpgw6hrhbdb.jpeg?q=70
Voltas,1.5,Copper,1750 W, R32,43 dB,4.2,1258,₹39999,https://rukminim1.flixcart.com/image/312/312/jy4q3680/air-conditioner-new/f/f/n/185v-ads-1-5-split-inverter-voltas-original-imafggygae8khdks.jpeg?q=70
LG,1.5,Copper,5000 W, R-32 Refrigerant,44 dB,4.3,2273,₹36999,https://rukminim1.flixcart.com/image/312/312/jua4djk0/air-conditioner-new/f/r/q/jw-q18wuza-1-5-window-lg-fixed-speed-original-imaffg2mbghyfcgb.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
MarQ,By,Copper,841.63 kWh, R-32,40 dB,3.9,594,₹26499,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/air-conditioner-new/i/i/j/-original-imagbgcfwjejfshr.jpeg?q=70
SAMSUNG,Super,Copper,1350 W, R - 32,45 dB,4.3,151,₹44999,https://rukminim1.flixcart.com/image/312/312/kyag87k0/air-conditioner-new/a/i/w/-original-imagajw3gkkjm72y.jpeg?q=70
Whirlpool,4,Copper,560.34 W, R32,45 dB,4.0,3068,₹34999,https://rukminim1.flixcart.com/image/312/312/klgx0280/air-conditioner-new/d/e/d/magicool-convert-split-whirlpool-inverter-original-imagyhgyfqfsnmgg.jpeg?q=70
Hisense,4-in-1,Copper,939.66 kWh, R-32,49 dB,4.2,1572,₹33500,https://rukminim1.flixcart.com/image/312/312/l4rd0280/air-conditioner-new/v/l/b/-original-imagfkxvgdyz8d6v.jpeg?q=70
Blue,Star,Copper,1430 W, R - 34,38 dB,4.2,745,₹35990,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/5/0/i/-original-imagcchg6sfr2zdd.jpeg?q=70
LG,1.5,Copper,5800 W, R - 32,31 dB,3.8,0,₹41928,https://rukminim1.flixcart.com/image/312/312/l05lx8w0/air-conditioner-new/a/g/f/-original-imagcyefeyhpudft.jpeg?q=70
IFB,1.5,Copper,2590 W,d: No,39 dB,4.3,676,₹42990,https://rukminim1.flixcart.com/image/312/312/l33cia80/air-conditioner-new/v/z/m/-original-imageacgbqnuh7zh.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Blue,Star,Copper,955 W, R - 38,44 dB,4.2,3211,₹39290,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/j/1/s/-original-imagccjyemgycszp.jpeg?q=70
Godrej,1.5,Copper,840.2 kWh, R32,43 dB,4.7,0,₹36999,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/air-conditioner-new/i/7/k/-original-imagczpgw6hrhbdb.jpeg?q=70
Daikin,1.5,Copper,1278 W, R-32,44 dB,4.1,907,₹39320,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/air-conditioner-new/u/z/z/-original-imagbp2vubgfzxeg.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
IFB,1.5,Copper,1088 W, R-32,39 dB,4.1,1076,₹34990,https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/f/q/e/iaci183f3g3c-split-dual-inverter-ifb-original-imag6hzythk2pmzq.jpeg?q=70
LG,Super,Copper,1050.84 kWh, R32,26 dB,4.0,1227,₹35999,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/air-conditioner-new/a/u/8/-original-imagay8qzzvnkxvp.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
CARRIER,4,Copper,1500 W, R32,38 dB,4.3,9692,₹41999,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/u/i/4/18k-5-star-ester-nxi-hybridjet-inverter-r32-split-ac-split-original-imagyk2qgejvdhas.jpeg?q=70
Lloyd,1.5,Copper,1114.71 kWh, R-32,52 dB,4.1,360,₹30999,https://rukminim1.flixcart.com/image/312/312/l30hmkw0/air-conditioner-new/k/q/q/-original-image87v8ysyghxn.jpeg?q=70
CARRIER,1.5,Copper,1522 W, R32,58 dB,4.2,810,₹35999,https://rukminim1.flixcart.com/image/312/312/l13whow0/air-conditioner-new/f/t/y/-original-imagcqpexcjyzuhe.jpeg?q=70
Hisense,4-in-1,Copper,960 W, R-32,44 dB,4.2,1572,₹32000,https://rukminim1.flixcart.com/image/312/312/l4rd0280/air-conditioner-new/v/l/b/-original-imagfkxvgdyz8d6v.jpeg?q=70
SAMSUNG,1.5,Copper,1380 W, R - 32,59 dB,4.2,0,₹41975,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/o/w/e/-original-imagcmjjmbj4xfqy.jpeg?q=70
Hitachi,1.5,Copper,1134.28 W, R32,50 dB,3.9,2229,₹35490,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/air-conditioner-new/k/o/4/raw518hedo-window-hitachi-fixed-speed-original-imagfy3cmnm7m4wg.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Daikin,1,Copper,1200 W,d: No,27 dB,4.3,0,₹35590,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/k/2/b/-original-imagcmh2tzcnmtys.jpeg?q=70
CARRIER,1.5,Copper,1700 W,d: No,37 dB,0.0,0,₹37677,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/h/e/3/-original-image99vnvphmhhu.jpeg?q=70
