Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Hitachi,1.5,Copper,1575 W,d: No,50 dB,4.2,2102,₹33999,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/g/4/e/raw518kudz1-mps-1-5-window-hitachi-fixed-speed-original-imafu44dgw6evddz.jpeg?q=70
Thomson,1,Copper,944 W, R - 32,48 dB,4.4,211,₹24490,https://rukminim1.flixcart.com/image/312/312/l111lzk0/air-conditioner-new/5/8/4/-original-imagczp464ravmvv.jpeg?q=70
Voltas,0.8,Copper,2500 W,d: No,56 dB,4.2,79,₹26590,https://rukminim1.flixcart.com/image/312/312/jwtkk280/air-conditioner-new/r/b/y/103-dzs-0-8-window-inverter-voltas-original-imafheunzhvrzmgy.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
SAMSUNG,Super,Copper,960 W, R-32,45 dB,0.0,0,₹35190,https://rukminim1.flixcart.com/image/312/312/l51d30w0/air-conditioner-new/d/t/t/-original-imagfsugdpyzz8hy.jpeg?q=70
CARRIER,1.5,Copper,1595 W,d: No,37 dB,0.0,0,₹38590,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/w/i/g/-original-image99vnzfeghhz.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.1,447,₹35490,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/2/4/g/-original-imagae8qmgmdsufu.jpeg?q=70
Lloyd,1.5,Copper,114.7 kWh,d: No,52 dB,3.8,0,₹31805,https://rukminim1.flixcart.com/image/312/312/l1tmf0w0/air-conditioner-new/f/3/h/-original-imagdaxeherhpak7.jpeg?q=70
Daikin,1.5,Copper,1752 W, R-32,35 dB,4.2,2468,₹38000,https://rukminim1.flixcart.com/image/312/312/ko7idu80/air-conditioner-new/f/e/s/mtkl50tv16v-rkl50tv16v-c-split-daikin-inverter-original-imag2px2ydtm934p.jpeg?q=70
Hitachi,1.5,Copper,1540 W, R410A,34 dB,3.9,2883,₹43999,https://rukminim1.flixcart.com/image/312/312/kmqn3bk0/air-conditioner-new/f/n/l/rsog518heea-split-hitachi-inverter-original-imagfkksbkrxykjk.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Midea,1,Copper,1170 W, R-32,33 dB,5.0,0,₹30499,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/z/b/q/-original-imagcrtftny6wjnj.jpeg?q=70
SAMSUNG,1.5,Copper,1500 W, R32,35 dB,4.4,0,₹40450,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/n/w/p/-original-imagcbtzc2npmhdz.jpeg?q=70
